# Unicode control characters
CHARACTER TABULATION; 0009
LATIN SMALL LETTER K LIGATED WITH ARM OF LATIN SMALL LETTER R [MUFI] ; E8C5
LATIN SMALL LIGATURE LL [MUFI] ;F4F9
LATIN SMALL LIGATURE SMALL CAPITAL N LONG S [MUFI] ; EED5
LATIN SMALL LIGATURE OC [MUFI] ; EFAD
LATIN SMALL LIGATURE O R ROTUNDA [MUFI] ; E8DE
LATIN CAPITAL LIGATURE PP [MUFI] ; EEDD
LATIN SMALL LIGATURE PP [MUFI] ; EED6
LATIN SMALL LIGATURE PP WITH FLOURISH [MUFI] ; EED7
LATIN SMALL LIGATURE LONG S A WITH DIAERESIS [MUFI] ; EBA0
LATIN SMALL LIGATURE LONG S CH [MUFI] ;F4FA
LATIN SMALL LIGATURE LONG S H [MUFI] ; EBA1
LATIN SMALL LIGATURE LONG S I [MUFI] ; EBA2
LATIN SMALL LIGATURE LONG S J [MUFI] ;F4FB
LATIN SMALL LIGATURE LONG S K [MUFI] ;F4FC
LATIN SMALL LIGATURE LONG S L [MUFI] ; EBA3
LATIN SMALL LIGATURE LONG S L WITH STROKE [MUFI] ; E8DF
LATIN SMALL LIGATURE LONG S O WITH DIAERESIS [MUFI] ; EBA4
LATIN SMALL LIGATURE LONG S P [MUFI] ; EBA5
LATIN SMALL LIGATURE LONG S S [MUFI] ;F4FD
LATIN SMALL LIGATURE LONG S LONG S [MUFI] ; EBA6
LATIN SMALL LIGATURE LONG S LONG S I [MUFI] ; EBA7
LATIN SMALL LIGATURE LONG S LONG S K [MUFI] ;F4FE
LATIN SMALL LIGATURE LONG S LONG S L [MUFI] ; EBA8
LATIN SMALL LIGATURE LONG S LONG S T [MUFI] ;F4FF
LATIN SMALL LIGATURE LONG S TI [MUFI] ; EBA9
LATIN SMALL LIGATURE LONG S TR [MUFI] ; EBAA
LATIN SMALL LIGATURE LONG S U WITH DIAERESIS [MUFI] ; EBAB
LATIN SMALL LIGATURE LONG S INSULAR V [MUFI] ; EBAC
LATIN SMALL LIGATURE LONG S DESCENDING T [MUFI] ; EADA
LATIN SMALL LIGATURE TR [MUFI] ; EED8
LATIN SMALL LIGATURE TT [MUFI] ; EED9
LATIN SMALL LIGATURE T ROTUNDA T ROTUNDA [MUFI] ; EEDA
LATIN SMALL LIGATURE TY [MUFI] ; EEDB
LATIN SMALL LIGATURE TZ [MUFI] ; EEDC
LATIN CAPITAL LIGATURE UE [MUFI] ; E8C8
LATIN SMALL LIGATURE UE [MUFI] ; E8C9
LATIN CAPITAL LIGATURE UU [MUFI] ; E8C6
LATIN SMALL LIGATURE UU [MUFI] ; E8C7
LATIN SMALL LETTER THORN LIGATED WITH ARM OF LATIN SMALL LETTER R [MUFI] ; E8C1
LATIN CAPITAL LETTER A SQUARE FORM [MUFI] ;F13A
LATIN SMALL LETTER A UNCIAL FORM [MUFI] ;F214
LATIN CAPITAL LETTER A INSULAR FORM [MUFI] ;F201
LATIN SMALL LETTER A INSULAR FORM [MUFI] ;F200
LATIN SMALL LETTER OPEN A CAROLINGIAN FORM [MUFI] ;F202
LATIN SMALL LETTER NECKLESS A [MUFI] ;F215
LATIN SMALL LETTER CLOSED A GOTHIC FORM [MUFI] ;F203
LATIN CAPITAL LETTER C SQUARE FORM [MUFI] ;F106
LATIN SMALL LETTER C WITH CURL [MUFI] ;F198
LATIN SMALL LETTER D WITH CURL [MUFI] ;F193
LATIN CAPITAL LETTER E UNCIAL FORM [MUFI] ;F10A
LATIN CAPITAL LETTER CLOSED E UNCIAL FORM [MUFI] ;F217
LATIN SMALL LETTER E UNCIAL FORM [MUFI] ;F218
LATIN SMALL LETTER E EXTENDED BAR FORM [MUFI] ;F219
LATIN SMALL LETTER E TALL FORM [MUFI] ;F21A
LATIN SMALL LETTER SEMI-CLOSED INSULAR F [MUFI] ;F21B
LATIN SMALL LETTER INSULAR F WITH DOTTED HOOKS [MUFI] ;F21C
LATIN SMALL LETTER CLOSED INSULAR F [MUFI] ;F207
LATIN SMALL LETTER F WITH CURL [MUFI] ;F194
LATIN CAPITAL LETTER G SQUARE FORM [MUFI] ;F10E
LATIN SMALL LETTER G WITH CURL [MUFI] ;F196
LATIN SMALL LETTER G WITH SEPARATE LOOPS [MUFI] ;F21D
LATIN SMALL LETTER CLOSED G WITH LARGE LOWER LOOP [MUFI] ;F21E
LATIN SMALL LETTER CLOSED G WITH SMALL LOWER LOOP [MUFI] ;F21F
LATIN CAPITAL LETTER H UNCIAL FORM [MUFI] ;F110
LATIN SMALL LETTER H WITH RIGHT DESCENDER [MUFI] ;F23A
LATIN SMALL LETTER LONG I [MUFI] ;F220
LATIN SMALL LETTER K UNCIAL FORM [MUFI] ;F208
LATIN SMALL LETTER K SEMI-CLOSED FORM [MUFI] ;F221
LATIN SMALL LETTER K CLOSED FORM [MUFI] ;F209
LATIN SMALL LETTER K WITH CURL [MUFI] ;F195
LATIN SMALL LETTER L DESCENDING [MUFI] ;F222
LATIN CAPITAL LETTER M UNCIAL FORM [MUFI] ;F11A
LATIN CAPITAL LETTER M UNCIAL FORM WITH RIGHT DESCENDER [MUFI] ;F224
LATIN MEDIUSCULE LETTER M UNCIAL FORM [MUFI] ;F225
LATIN MEDIUSCULE LETTER M UNCIAL FORM WITH RIGHT DESCENDER [MUFI] ;F226
LATIN SMALL LETTER M UNCIAL FORM [MUFI] ;F23C
