# Unicode control characters
CHARACTER TABULATION; 0009
LATIN SMALL LIGATURE OE WITH DOUBLE ACUTE [MUFI] ;0153 030B
LATIN SMALL LIGATURE OE WITH OGONEK [MUFI] ;0153 0328
LATIN SMALL LETTER LONG S WITH ACUTE [MUFI] ;017F 0301
LATIN SMALL LETTER LONG S WITH DOT BELOW [MUFI] ;017F 0323
LATIN LETTER SMALL CAPITAL G WITH DOT ABOVE [MUFI] ;0262 0307
LATIN LETTER SMALL CAPITAL G WITH DOT BELOW [MUFI] ;0262 0323
LATIN LETTER SMALL CAPITAL N WITH DOT ABOVE [MUFI] ;0274 0307
LATIN LETTER SMALL CAPITAL N WITH DOT BELOW [MUFI] ;0274 0323
LATIN LETTER SMALL CAPITAL R WITH DOT ABOVE [MUFI] ;0280 0307
LATIN LETTER SMALL CAPITAL R WITH DOT BELOW [MUFI] ;0280 0323
LATIN LETTER SMALL CAPITAL B WITH DOT ABOVE [MUFI] ;0299 0307
LATIN LETTER SMALL CAPITAL B WITH DOT BELOW [MUFI] ;0299 0323
LATIN LETTER SMALL CAPITAL H WITH DOT ABOVE [MUFI] ;029C 0307
LATIN LETTER SMALL CAPITAL L WITH DOT ABOVE [MUFI] ;029F 0307
LATIN LETTER SMALL CAPITAL L WITH DOT BELOW [MUFI] ;029F 0323
LATIN LETTER SMALL CAPITAL D WITH DOT ABOVE [MUFI] ;1D05 0307
LATIN LETTER SMALL CAPITAL D WITH DOT BELOW [MUFI] ;1D05 0323
LATIN LETTER SMALL CAPITAL K WITH DOT ABOVE [MUFI] ;1D0B 0307
LATIN LETTER SMALL CAPITAL M WITH DOT ABOVE [MUFI] ;1D0D 0307
LATIN LETTER SMALL CAPITAL M WITH DOT BELOW [MUFI] ;1D0D 0323
LATIN LETTER SMALL CAPITAL P WITH DOT ABOVE [MUFI] ;1D18 0307
LATIN LETTER SMALL CAPITAL T WITH DOT ABOVE [MUFI] ;1D1B 0307
LATIN LETTER SMALL CAPITAL T WITH DOT BELOW [MUFI] ;1D1B 0323
ROMAN NUMERAL REVERSED ONE HUNDRED WITH OVERLINE[MUFI] ;2183 0305
LATIN SMALL LETTER Q WITH STROKE THROUGH DESCENDER AND TILDE[MUFI] ;A757 0303
LATIN CAPITAL LIGATURE UU WITH DOUBLE ACUTE [MUFI] ;E8C6 030B
LATIN SMALL LIGATURE UU WITH DOUBLE ACUTE [MUFI] ;E8C7 030B
LATIN SMALL LIGATURE PP WITH DIAERESIS [MUFI] ;EED6 0308
LATIN CAPITAL LIGATURE PP WITH DIAERESIS [MUFI] ;EEDD 0308
LATIN LETTER SMALL CAPITAL F WITH DOT ABOVE [MUFI] ;EF05 0307
LATIN LETTER SMALL CAPITAL S WITH DOT ABOVE [MUFI] ;EF0E 0307
LATIN LETTER SMALL CAPITAL S WITH DOT BELOW [MUFI] ;EF0E 0323
LATIN CAPITAL LIGATURE AA WITH ACUTE [MUFI] ;EF90 0301
LATIN CAPITAL LIGATURE AA WITH DOT ABOVE [MUFI] ;EF90 0307
LATIN CAPITAL LIGATURE AA WITH DIAERESIS [MUFI] ;EF90 0308
LATIN CAPITAL LIGATURE AA WITH DOUBLE ACUTE [MUFI] ;EF90 030B
LATIN CAPITAL LIGATURE AA WITH DOT BELOW [MUFI] ;EF90 0323
LATIN SMALL LIGATURE AA WITH ACUTE [MUFI] ;EF91 0301
LATIN SMALL LIGATURE AA WITH DOT ABOVE [MUFI] ;EF91 0307
LATIN SMALL LIGATURE AA WITH DIAERESIS [MUFI] ;EF91 0308
LATIN SMALL LIGATURE AA WITH DOUBLE ACUTE [MUFI] ;EF91 030B
LATIN SMALL LIGATURE AA WITH DOT BELOW [MUFI] ;EF91 0323
LATIN CAPITAL LIGATURE AO WITH ACUTE [MUFI] ;EF92 0301
LATIN CAPITAL LIGATURE AO WITH DOUBLE ACUTE [MUFI] ;EF92 030B
LATIN CAPITAL LIGATURE AO WITH DOT BELOW [MUFI] ;EF92 0323
LATIN SMALL LIGATURE AO WITH ACUTE [MUFI] ;EF93 0301
LATIN SMALL LIGATURE AO WITH DOUBLE ACUTE [MUFI] ;EF93 030B
LATIN SMALL LIGATURE AO WITH DOT BELOW [MUFI] ;EF93 0323
LATIN CAPITAL LIGATURE AU WITH ACUTE [MUFI] ;EF94 0301
LATIN CAPITAL LIGATURE AU WITH DOT BELOW [MUFI] ;EF94 0323
LATIN SMALL LIGATURE AU WITH ACUTE [MUFI] ;EF95 0301
LATIN SMALL LIGATURE AU WITH DOT BELOW [MUFI] ;EF95 0323
LATIN CAPITAL LIGATURE AV WITH ACUTE [MUFI] ;EF96 0301
LATIN CAPITAL LIGATURE AV WITH DOUBLE ACUTE [MUFI] ;EF96 030B
LATIN CAPITAL LIGATURE AV WITH DOT BELOW [MUFI] ;EF96 0323
LATIN CAPITAL LIGATURE AV WITH OGONEK [MUFI] ;EF96 0328
LATIN SMALL LIGATURE AV WITH ACUTE [MUFI] ;EF97 0301
LATIN SMALL LIGATURE AV WITH DOUBLE ACUTE [MUFI] ;EF97 030B
LATIN SMALL LIGATURE AV WITH DOT BELOW [MUFI] ;EF97 0323
LATIN SMALL LIGATURE AV WITH OGONEK [MUFI] ;EF97 0328
LATIN CAPITAL LIGATURE AV WITH STROKE AND ACUTE [MUFI] ;EF98 0301
LATIN SMALL LIGATURE AV WITH STROKE AND ACUTE [MUFI] ;EF99 0301
LATIN CAPITAL LIGATURE AY WITH DOT ABOVE [MUFI] ;EF9A 0307
LATIN CAPITAL LIGATURE AY WITH DOT BELOW [MUFI] ;EF9A 0323
LATIN SMALL LIGATURE AY WITH DOT ABOVE [MUFI] ;EF9B 0307
LATIN SMALL LIGATURE AY WITH DOT BELOW [MUFI] ;EF9B 0323
LATIN SMALL LETTER D ROTUNDA WITH ACUTE [MUFI] ;F109 0301
LATIN SMALL LETTER D ROTUNDA WITH DOT ABOVE [MUFI] ;F109 0307
LATIN CAPITAL LETTER INSULAR F WITH ACUTE [MUFI] ;F10C 0301
LATIN CAPITAL LETTER INSULAR F WITH DOT ABOVE [MUFI] ;F10C 0307
LATIN CAPITAL LETTER INSULAR F WITH DOT BELOW [MUFI] ;F10C 0323
LATIN SMALL LETTER INSULAR F WITH ACUTE [MUFI] ;F10D 0301
LATIN SMALL LETTER INSULAR F WITH DOT ABOVE [MUFI] ;F10D 0307
LATIN SMALL LETTER INSULAR F WITH DOT BELOW [MUFI] ;F10D 0323
LATIN CAPITAL LETTER M UNCIAL FORM WITH ACUTE [MUFI] ;F11A 0301
LATIN SMALL LETTER CLOSED INSULAR F WITH DOT ABOVE [MUFI] ;F207 0307
LATIN CAPITAL LIGATURE OO WITH ACUTE [MUFI] ;F20A 0301
LATIN CAPITAL LIGATURE OO WITH DIAERESIS [MUFI] ;F20A 0308
LATIN CAPITAL LIGATURE OO WITH DOUBLE ACUTE [MUFI] ;F20A 030B
LATIN CAPITAL LIGATURE OO WITH DOT BELOW [MUFI] ;F20A 0323
LATIN SMALL LIGATURE OO WITH ACUTE [MUFI] ;F20B 0301
LATIN SMALL LIGATURE OO WITH DIAERESIS [MUFI] ;F20B 0308
LATIN SMALL LIGATURE OO WITH DOUBLE ACUTE [MUFI] ;F20B 030B
LATIN SMALL LIGATURE OO WITH DOT BELOW [MUFI] ;F20B 0323
LATIN SMALL LETTER R ROTUNDA WITH ACUTE [MUFI] ;F20E 0301
LATIN SMALL LETTER R ROTUNDA WITH DOT BELOW [MUFI] ;F20E 0323
LATIN CAPITAL LETTER INSULAR V (VEND) WITH ACUTE[MUFI] ;F210 0301
LATIN CAPITAL LETTER INSULAR V (VEND) WITH DOT ABOVE[MUFI] ;F210 0307
LATIN CAPITAL LETTER INSULAR V (VEND) WITH DOT BELOW[MUFI] ;F210 0323
LATIN SMALL LETTER INSULAR V (VEND) WITH ACUTE[MUFI] ;F211 0301
LATIN SMALL LETTER INSULAR V (VEND) WITH DOT ABOVE[MUFI] ;F211 0307
LATIN SMALL LETTER INSULAR V (VEND) WITH DOT BELOW[MUFI] ;F211 0323
LATIN CAPITAL LIGATURE YY WITH DIAERESIS [MUFI] ;F212 0308
LATIN CAPITAL LIGATURE YY WITH DOUBLE ACUTE [MUFI] ;F212 030B
LATIN SMALL LIGATURE YY WITH DIAERESIS [MUFI] ;F213 0308
LATIN SMALL LIGATURE YY WITH DOUBLE ACUTE [MUFI] ;F213 030B
LATIN SMALL LETTER SEMI-CLOSED INSULAR F WITH DOT ABOVE [MUFI] ;F21B 0307
LATIN MEDIUSCULE LETTER M UNCIAL FORM WITH ACUTE [MUFI] ;F225 0301
LATIN SMALL LETTER M UNCIAL FORM WITH ACUTE [MUFI] ;F23C 0301
# font specific
The Italian soldi sign (Andron Scriptor Web specific) [MUFI] ;F2FC
